"","word","freq"
"covid","covid",139
"help","help",125
"support","support",92
"community","community",62
"save","save",41
"crisis","crisis",41
"appeal","appeal",38
"survive","survive",37
"fund","fund",33
"food","food",29
"nhs","nhs",28
"project","project",27
"staff","staff",24
"keep","keep",23
"emergency","emergency",23
"people","people",22
"new","new",20
"coronavirus","coronavirus",18
"foodbank","foodbank",17
"cafe","cafe",16
"supporting","supporting",15
"corona","corona",13
"london","london",13
"hub","hub",13
"women","women",13
"local","local",12
"school","school",12
"centre","centre",12
"helping","helping",12
"garden","garden",12
"health","health",12
"response","response",11
"children","children",11
"space","space",11
"vulnerable","vulnerable",11
"wellbeing","wellbeing",11
"future","future",10
"scrubs","scrubs",10
"disabled","disabled",10
"workers","workers",10
"care","care",10
"free","free",10
"young","young",10
"get","get",10
"group","group",10
"need","need",9
"youth","youth",9
"back","back",9
"social","social",9
"love","love",9
"forward","forward",9
"pay","pay",9
"equipment","equipment",8
"play","play",8
"shop","shop",8
"please","please",8
"home","home",8
"fundraiser","fundraiser",8
"arts","arts",8
"families","families",8
"mental","mental",8
"learning","learning",7
"feed","feed",7
"friends","friends",7
"west","west",7
"park","park",7
"house","house",7
"making","making",7
"make","make",7
"theatre","theatre",7
"building","building",7
"going","going",7
"business","business",7
"crowdfunder","crowdfunder",6
"survival","survival",6
"communities","communities",6
"music","music",6
"hand","hand",6
"life","life",6
"now","now",6
"isolation","isolation",6
"give","give",6
"farm","farm",6
"urgent","urgent",6
"can","can",6
"animals","animals",6
"therapy","therapy",6
"buy","buy",6
"creating","creating",6
"sensory","sensory",6
"family","family",6
"ppe","ppe",5
"street","street",5
"online","online",5
"south","south",5
"live","live",5
"virus","virus",5
"connected","connected",5
"matchfunded","matchfunded",5
"staying","staying",5
"beyond","beyond",5
"key","key",5
"face","face",5
"shields","shields",5
"inn","inn",5
"area","area",5
"stay","stay",5
"kids","kids",5
"cancer","cancer",5
"together","together",5
"team","team",5
"visors","visors",5
"festival","festival",5
"accessible","accessible",5
"challenge","challenge",5
"keeping","keeping",5
"frontline","frontline",5
"relief","relief",5
"club","club",5
"coffee","coffee",5
"memories","memories",5
"sessions","sessions",5
"later","later",5
"counselling","counselling",5
"great","great",5
"hope","hope",5
"lives","lives",5
"big","big",5
"heroes","heroes",4
"trust","trust",4
"animal","animal",4
"veterans","veterans",4
"homeless","homeless",4
"service","service",4
"access","access",4
"active","active",4
"pub","pub",4
"city","city",4
"bike","bike",4
"good","good",4
"waste","waste",4
"zero","zero",4
"open","open",4
"closure","closure",4
"childrens","childrens",4
"room","room",4
"little","little",4
"vegan","vegan",4
"outdoor","outdoor",4
"needs","needs",4
"venue","venue",4
"dementia","dementia",4
"growing","growing",4
