Source Url,Title,Heading,Delete,By,Location,Raised,Timeleft,Oftarget,Supporters,Timeleft 2,Timeleft 3,Timeleft 4,Category,Created,Raisedby,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Heading 7,Heading 8,Heading 9,Heading 10,Heading 11,Heading 12,Heading 13,Heading 14,Heading 15,Heading 16,Heading 17,Heading 18,Heading 19,Heading 20,Heading 21,Heading 22,Heading 23,Heading 24,Heading 25,Heading 26,Heading 27,Heading 28
https://www.crowdfunder.co.uk/community-food-distribution-centre,COVID-19 Community Food Distribution Centre - a Food and Drink crowdfunding project in London by The Hornbeam Collective,COVID-19 Community Food Distribution Centre,by,The Hornbeam Collective in,"London, England, United Kingdom","5,701","raised of £6,000 target","6,000",207,supporters,95%,6 days left,Food and Drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/westburn-house-restoration,Save Westburn House - a Community crowdfunding project in Aberdeen by Westburn Development Trust SCIO,Save Westburn House,by,Westburn Development Trust SCIO in,"Aberdeen, Scotland, United Kingdom","5,485","raised of £25,000 target","25,000",117,supporters,21%,34 days left,Community,2019-08-15T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/govanhill-food-pantry,Govanhill Community Food Pantry - a Food and Drink crowdfunding project in Glasgow by Govanhill Baths Community Trust,Govanhill Community Food Pantry,by,Govanhill Baths Community Trust in,"Glasgow, Scotland, United Kingdom","3,180","raised of £10,000 stretch target","10,000 stretch",,supporters,32%,26 days left,Food and Drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/shoetreecafe,Support Shoe Tree Cafe - a Food and Drink crowdfunding project in Newcastle Upon Tyne by Shoe Tree Cafe,Support Shoe Tree Cafe,by,Shoe Tree Cafe in,"Newcastle Upon Tyne, England, United Kingdom","2,082","raised of £10,000 target","10,000",80,supporters,20%,19 days left,Food and Drink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/get-inn-save-the-cornwood-inn,GET INN! Save the Cornwood Inn - a Food and Drink crowdfunding project in Cornwood by Cornwood Inn Action Group,GET INN! Save the Cornwood Inn,by,Cornwood Inn Action Group in,"Cornwood, England, United Kingdom",,,,,,,,Food and Drink,2020-01-31T23:59:00+00:00,"On 2nd March 2020 we successfully raised £183,185 with 135 investors in 31 days",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/lionshare,Take your LionShare of our award-winning brewery - a Food and Drink crowdfunding project in Dartington by New Lion Brewery,Take your LionShare of our award-winning brewery,by,New Lion Brewery in,"Dartington, England, United Kingdom",,,,,,,,Food and Drink,2019-09-27T23:59:00+01:00,"On 8th November 2019 we successfully raised £176,204 with 270 investors in 42 days",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/funding-the-first-fierce-bar,Opening a Fierce Bar - a crowdfunding project in Aberdeen by Dave Grant,Opening a Fierce Bar,by,Dave Grant in,"Aberdeen, Scotland, United Kingdom",,,,,,,,,,"On 23rd December 2017 we successfully raised £121,093 with 1015 supporters in 8 days",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/support-caroline-lucas-to-get-a-peoples-vote,Support Caroline Lucas to get a People’s Vote - a Community crowdfunding project in London by Green Party of England and Wales,Support Caroline Lucas to get a People’s Vote,by,Green Party of England and Wales in,"London, England, United Kingdom",,,,,,,,Community,2018-11-16T23:59:00+00:00,"On 14th December 2018 we successfully raised £86,385 with 2979 supporters in 28 days",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/lindisfarne-festival-2020,Lindisfarne Festival 2020 - a Arts crowdfunding project in Berwick Upon Tweed by Lindisfarne Festival,Lindisfarne Festival 2020,by,Lindisfarne Festival in,"Berwick Upon Tweed, England, United Kingdom",,,,,,,,Arts,2019-10-01T22:00:00+01:00,"On 31st October 2019 we successfully raised £85,781 with 353 supporters in 30 days",,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.crowdfunder.co.uk/save-the-ploughshare,Save the Ploughshare - a Community crowdfunding project in Beeston by Save the Ploughshare,Save the Ploughshare,by,Save the Ploughshare in,"Beeston, England, United Kingdom",,,,,,,,Community,2018-10-29T23:58:00+00:00,"On 7th December 2018 we successfully raised £84,470 with 116 investors in 39 days",,,,,,,,,,,,,,,,,,,,,,,,,,,
